priors,school,violations,age,timeserved,alcohol,drugs,release,married,degree,gender,type,property,person,recid
0,7,2,36.75,2.5,1,0,1,1,0,1,0,0,0,0
0,11,0,25.25,0.333333333,0,0,1,1,0,1,0,0,0,0
1,9,1,23,3.583333333,0,0,1,0,0,1,0,0,0,1
0,14,0,27.41666667,0.75,0,0,0,0,0,0,0,0,0,0
0,10,0,23.08333333,0.666666667,0,0,0,0,1,1,0,0,0,0
0,9,4,22.75,2.083333333,0,0,0,1,1,1,0,0,0,0
0,12,0,25.58333333,1.583333333,0,0,1,0,1,1,2,1,0,0
0,16,0,25.08333333,1.416666667,0,0,1,0,1,1,0,0,0,1
8,9,0,24.33333333,0.583333333,0,0,0,1,0,1,2,1,0,1
0,9,5,21.83333333,2.25,0,0,0,0,0,1,2,1,0,1
0,10,3,20.16666667,1.666666667,0,0,1,0,0,1,0,0,0,1
2,9,2,20.83333333,4.333333333,0,1,1,0,1,1,2,1,0,1
2,9,3,21.08333333,3.166666667,0,1,1,0,1,1,2,1,0,1
0,6,1,27.58333333,1.666666667,0,0,0,1,0,1,0,0,0,0
0,12,0,29.08333333,0.75,0,0,1,1,0,0,0,0,0,1
0,9,0,20.33333333,0.333333333,0,1,1,0,0,1,0,0,0,0
0,9,1,21.08333333,1.5,0,1,1,0,1,1,1,0,1,0
0,6,0,21.41666667,1.583333333,0,0,1,0,0,1,2,1,0,0
1,12,0,23.08333333,1.083333333,0,0,1,0,0,1,0,0,0,0
0,4,0,43.25,0.333333333,1,0,1,1,0,1,0,0,0,0
2,8,0,33.25,0.5,0,0,0,1,0,1,0,0,0,0
0,12,2,27.25,2.333333333,1,0,1,0,0,1,0,0,0,0
0,10,0,21.41666667,0.416666667,0,0,0,1,0,1,0,0,0,1
5,10,3,29.41666667,6.083333333,0,0,1,0,1,1,2,1,0,1
2,10,3,26.16666667,2.833333333,0,0,1,0,1,1,2,1,0,0
0,9,0,19.5,3,0,0,1,0,0,1,0,0,0,1
1,9,2,30.08333333,2.75,0,0,1,0,1,0,0,0,0,0
2,10,0,32.33333333,1.166666667,0,0,1,1,0,1,0,0,0,1
0,11,1,17.66666667,0.583333333,0,0,0,0,0,1,0,0,0,0
1,6,0,35.25,0.416666667,0,0,0,0,0,1,0,0,0,1
0,6,0,22.91666667,3,0,0,1,0,1,0,1,0,1,1
0,12,0,30.83333333,0.666666667,1,0,1,0,0,1,0,0,0,0
7,10,0,31.83333333,3,0,1,1,1,0,1,0,0,0,0
0,11,2,35.83333333,2.666666667,0,0,1,1,1,1,0,0,0,1
1,10,3,20.91666667,0.583333333,0,0,0,0,0,1,0,0,0,0
4,8,0,37.91666667,2.75,0,1,1,0,1,1,2,1,0,0
0,6,0,34.75,0.333333333,1,0,1,1,0,1,0,0,0,0
0,11,1,36.08333333,0.166666667,0,0,0,1,0,1,0,0,0,0
1,12,0,39.08333333,0.583333333,1,0,0,1,0,1,0,0,0,1
0,12,1,25.41666667,0.75,0,0,0,0,0,1,0,0,0,1
3,10,1,23,2.25,0,0,1,0,1,1,2,1,0,1
0,10,0,43.25,1,0,0,1,0,1,1,2,1,0,0
0,11,0,42.58333333,0.75,0,0,1,1,1,1,0,0,0,0
2,10,2,22,1.5,0,1,1,0,0,1,0,0,0,1
2,12,0,34.91666667,0.833333333,0,0,1,1,0,1,0,0,0,0
0,10,5,26.33333333,3.583333333,1,0,0,1,1,1,2,1,0,0
0,15,1,29.33333333,1.166666667,1,0,1,0,1,0,2,1,0,0
2,7,0,49.33333333,0.416666667,1,1,1,0,0,1,0,0,0,1
2,11,0,27.33333333,0.583333333,1,0,1,0,0,1,0,0,0,0
0,9,0,19.58333333,0.5,1,1,1,1,0,1,0,0,0,0
2,10,2,23.08333333,0.75,0,0,0,0,0,1,0,0,0,1
0,10,1,23.16666667,1.583333333,1,0,1,1,0,1,0,0,0,1
2,12,1,40.66666667,5.166666667,1,0,1,1,1,1,2,1,0,1
0,8,0,20.41666667,2.416666667,0,0,1,0,1,1,1,0,1,0
0,8,0,23.66666667,0.833333333,0,0,0,1,0,1,0,0,0,0
0,12,0,21.91666667,0.916666667,0,0,1,0,1,1,2,1,0,0
2,3,0,42.75,0.5,0,0,1,0,0,1,1,0,1,0
0,11,0,17.58333333,0.25,0,0,0,0,0,1,0,0,0,1
2,9,1,25.58333333,1.333333333,0,1,1,1,0,1,0,0,0,1
0,11,4,21,2.666666667,0,0,1,1,0,0,2,1,0,0
0,9,3,22.75,2.333333333,0,0,1,0,1,1,2,1,0,1
0,9,1,17.58333333,0.916666667,0,0,0,0,0,1,0,0,0,0
2,4,0,60.33333333,0.75,1,0,1,0,0,1,0,0,0,0
0,11,4,24.33333333,2.416666667,0,0,1,0,1,1,2,1,0,0
0,12,4,24.91666667,1.75,0,0,0,0,1,1,0,0,0,1
10,8,5,36.75,4.166666667,0,0,0,0,1,1,2,1,0,1
3,10,3,47.66666667,0.583333333,1,0,1,0,0,1,0,0,0,1
1,8,4,22.75,1.833333333,1,1,1,0,1,1,2,1,0,0
0,9,0,18.75,0.5,0,0,0,0,0,1,0,0,0,1
0,14,1,39.33333333,2.083333333,1,0,1,0,0,1,0,0,0,0
1,5,14,20.83333333,5.166666667,1,1,1,0,1,1,2,1,0,1
3,12,1,31.5,2,1,0,1,1,0,1,0,0,0,0
1,8,18,22.41666667,9.916666667,0,0,1,0,1,1,2,1,0,1
0,10,0,18.91666667,0.583333333,0,0,0,0,0,0,0,0,0,0
5,10,1,39.58333333,1.583333333,0,1,1,0,0,1,0,0,0,1
0,10,0,24.33333333,0.333333333,0,0,0,0,0,1,0,0,0,0
2,9,2,20.5,1.75,0,0,1,0,0,1,0,0,0,1
0,12,1,26,2,0,1,1,0,0,1,0,0,0,0
0,16,1,43,0.583333333,1,0,0,1,0,1,0,0,0,0
3,8,0,49.66666667,1.583333333,0,1,0,0,0,1,0,0,0,1
0,12,2,26.16666667,3,0,1,1,1,0,1,0,0,0,0
0,9,0,34.5,0.5,1,0,1,1,0,1,0,0,0,0
0,9,0,19.83333333,0.583333333,0,0,0,0,0,1,0,0,0,0
6,8,1,30.16666667,2.416666667,0,0,0,0,0,1,0,0,0,0
1,9,0,24,0.666666667,0,0,1,0,0,1,0,0,0,1
2,10,1,21.91666667,3.75,0,0,1,0,1,1,2,1,0,1
3,12,0,33.75,1.5,0,0,1,0,1,1,2,1,0,1
0,12,2,25.58333333,1.583333333,0,0,1,1,1,1,2,1,0,0
1,9,0,25,0.833333333,1,1,1,1,1,1,0,0,0,0
0,9,0,27.91666667,0.833333333,1,1,1,1,0,1,0,0,0,1
0,12,0,27.5,1.583333333,0,0,1,0,0,1,0,0,0,0
1,14,0,29.25,2.5,0,0,0,0,1,1,0,0,0,1
0,10,0,23.33333333,1,1,0,1,0,1,1,2,1,0,0
0,10,0,26.16666667,2.416666667,0,1,1,0,1,1,2,1,0,1
0,11,1,22.91666667,0.583333333,0,0,1,0,0,1,0,0,0,0
0,10,0,30.08333333,1.416666667,0,1,1,0,0,1,0,0,0,0
0,8,1,22,1,0,0,1,0,0,0,0,0,0,0
0,9,0,21.58333333,0.916666667,0,1,1,0,0,1,0,0,0,1
0,9,1,18.75,0.75,1,0,0,0,0,1,0,0,0,0
0,9,1,22.33333333,0.416666667,0,0,0,0,0,1,0,0,0,0
0,10,1,23.75,0.416666667,1,1,0,1,0,1,0,0,0,0
0,12,3,22.16666667,2,0,0,1,0,1,0,2,1,0,0
8,7,1,37.16666667,2.666666667,1,1,0,0,1,1,1,0,1,0
0,10,1,22.33333333,0.666666667,0,0,1,0,0,1,0,0,0,0
1,10,3,23.58333333,1.833333333,0,0,1,0,0,1,2,1,0,0
12,3,0,58.25,0.333333333,0,0,1,0,0,1,0,0,0,1
0,8,0,21.41666667,0.416666667,1,0,1,1,0,1,0,0,0,1
0,11,0,20.58333333,0.75,0,0,1,0,0,1,0,0,0,0
1,12,0,37.91666667,0.5,1,0,1,1,0,1,0,0,0,0
1,8,0,22.25,1.166666667,0,0,1,0,0,1,0,0,0,1
0,5,0,30.5,0.75,1,0,0,0,0,1,2,1,0,0
1,11,0,28.5,0.416666667,0,0,0,0,0,1,0,0,0,1
3,12,1,28.66666667,4.916666667,0,0,1,1,0,1,2,1,0,1
0,12,0,27.75,0.75,0,0,1,0,0,1,0,0,0,0
3,6,0,48.5,0.583333333,0,0,1,0,0,1,0,0,0,0
7,8,4,25.91666667,1.25,0,0,1,0,0,1,0,0,0,1
5,9,0,27.5,0.666666667,0,1,0,1,0,1,0,0,0,1
8,11,3,31.41666667,1.666666667,0,0,1,1,1,1,2,1,0,1
0,10,0,23.91666667,1.416666667,0,0,0,0,1,1,0,0,0,1
2,12,1,31.33333333,2.833333333,0,0,1,0,1,1,2,1,0,1
1,11,0,24.83333333,0.583333333,0,0,1,1,0,1,0,0,0,0
0,9,1,21.83333333,2.333333333,0,0,0,0,1,1,2,1,0,1
0,10,0,24.91666667,0.25,0,0,1,1,0,1,0,0,0,0
9,12,3,50.08333333,9.833333333,0,0,0,0,1,1,2,1,0,0
0,9,0,20.91666667,0.75,0,1,1,1,0,1,0,0,0,0
0,11,0,22.16666667,1.333333333,0,0,1,1,1,1,2,1,0,1
0,9,7,24.58333333,1.5,0,0,0,0,0,1,0,0,0,0
0,19,0,36.75,0.75,0,0,1,1,1,1,0,0,0,0
0,10,1,20.58333333,0.75,0,0,1,0,1,1,2,1,0,0
0,9,0,19.41666667,1.333333333,1,0,1,0,0,1,0,0,0,1
0,6,0,22.91666667,1.75,0,0,1,0,1,1,2,1,0,1
0,12,1,23.91666667,1.833333333,0,0,1,0,1,1,2,1,0,0
0,8,4,20.16666667,1.25,0,0,0,0,0,1,0,0,0,1
1,9,5,21.5,2.416666667,0,0,0,0,0,1,0,0,0,1
1,8,0,34.08333333,0.333333333,1,0,1,1,0,1,0,0,0,1
0,10,0,21.25,1.25,0,1,0,0,0,1,0,0,0,0
0,10,1,20.08333333,0.333333333,0,1,0,0,0,1,0,0,0,0
0,10,0,22.41666667,0.25,0,1,0,1,0,1,2,1,0,1
3,9,8,23,3.416666667,0,0,0,0,1,1,2,1,0,0
0,9,6,23.41666667,0.416666667,0,1,0,1,0,1,0,0,0,0
0,11,0,42.25,0.416666667,1,0,1,0,0,1,0,0,0,0
2,9,2,36.5,1,0,0,0,0,0,1,0,0,0,0
1,12,2,26.91666667,2.333333333,0,0,1,1,1,1,2,1,0,0
4,11,1,26.83333333,1.666666667,0,1,1,0,1,1,2,1,0,1
1,10,8,22.08333333,2.166666667,0,0,0,0,1,1,2,1,0,1
0,16,0,27.75,0.583333333,0,1,1,0,0,1,2,1,0,0
0,12,1,37.58333333,0.75,0,0,0,0,0,1,0,0,0,0
1,10,4,20.58333333,2.75,0,0,1,0,0,1,0,0,0,1
2,12,0,22.66666667,1.666666667,0,0,1,0,1,1,2,1,0,0
0,8,0,21.5,0.583333333,0,0,1,0,0,1,0,0,0,1
9,5,0,31.08333333,0.416666667,1,0,0,0,0,1,0,0,0,0
0,10,0,26.33333333,0.833333333,0,1,1,0,0,1,0,0,0,0
2,12,2,28.08333333,5.25,0,0,1,0,1,1,2,1,0,1
8,11,0,43,0.5,1,0,1,0,0,1,0,0,0,0
0,10,0,30.83333333,0.5,1,0,1,0,0,1,0,0,0,0
0,9,0,17.58333333,0.083333333,0,0,1,0,0,1,0,0,0,1
3,10,2,22.83333333,0.583333333,0,0,1,0,0,1,0,0,0,0
0,10,0,22.75,0.833333333,0,0,1,1,1,1,2,1,0,0
0,11,0,21.25,0.75,0,0,1,0,0,1,0,0,0,0
2,10,6,24.33333333,2.083333333,0,1,1,0,1,1,0,0,0,0
0,8,0,20.16666667,0.583333333,1,0,1,0,0,1,0,0,0,0
0,11,1,27.08333333,1.583333333,0,0,1,1,0,1,0,0,0,0
2,11,0,42.91666667,1.166666667,0,0,1,0,1,0,1,0,1,0
0,8,1,20.83333333,2.5,0,0,1,1,0,0,0,0,0,0
4,5,0,51.66666667,0.25,1,0,1,1,0,1,0,0,0,0
0,11,0,23.58333333,0.25,1,0,1,1,0,1,0,0,0,0
2,12,2,22.75,2.5,1,1,1,0,1,1,2,1,0,0
0,9,0,20.66666667,0.5,0,0,1,0,0,0,0,0,0,0
1,9,0,37.83333333,0.416666667,0,1,1,1,0,1,0,0,0,0
2,12,0,29.66666667,1.75,0,0,1,0,0,1,0,0,0,1
0,7,0,27.66666667,1.833333333,0,0,0,1,0,1,0,0,0,1
3,8,0,32.83333333,3.416666667,0,0,1,1,0,1,0,0,0,1
3,3,1,41.83333333,5.333333333,1,0,1,1,1,1,0,0,0,0
1,9,0,35,0.916666667,0,0,1,1,1,1,0,0,0,0
0,11,2,20.66666667,1.166666667,0,1,1,0,0,1,0,0,0,0
2,1,1,38.16666667,1.75,0,0,0,0,0,1,2,1,0,0
0,8,0,19.91666667,0.5,0,0,1,0,0,1,0,0,0,1
0,9,0,17.08333333,0.25,0,0,0,0,0,1,0,0,0,1
0,8,0,29,0.416666667,1,0,0,0,0,1,0,0,0,0
0,12,0,27.41666667,2.25,0,0,1,0,0,1,0,0,0,1
0,9,0,18.33333333,0.25,0,0,0,0,0,1,0,0,0,1
0,7,0,22,0.333333333,0,0,0,0,0,1,0,0,0,1
4,11,4,26.33333333,7.5,0,1,1,0,1,1,1,0,1,1
5,8,0,24.66666667,1,0,1,0,0,0,1,0,0,0,1
0,11,0,27.08333333,1.75,0,0,1,1,1,1,0,0,0,0
0,9,0,30.91666667,0.583333333,0,1,1,0,0,1,0,0,0,1
2,11,0,35.58333333,1,0,1,0,0,0,1,0,0,0,0
0,10,0,17.33333333,0.166666667,0,0,0,0,0,1,0,0,0,0
0,10,0,20.08333333,1.5,0,0,1,1,1,1,2,1,0,0
0,10,0,17.58333333,0.416666667,0,0,0,0,0,1,0,0,0,0
2,11,0,28.5,0.583333333,0,0,1,1,0,1,0,0,0,0
0,10,2,20.25,0.583333333,0,0,0,0,0,1,0,0,0,0
0,7,0,29.66666667,1.083333333,0,0,1,0,0,1,0,0,0,0
1,12,0,43.66666667,1.583333333,0,0,1,0,0,1,0,0,0,1
0,10,5,20.66666667,4.583333333,0,0,1,0,0,1,2,1,0,1
0,9,0,27.5,1,0,1,1,1,1,1,2,1,0,0
5,8,4,24.58333333,1.666666667,0,1,1,0,1,1,0,0,0,1
1,12,0,30.91666667,5.583333333,0,0,1,0,1,1,2,1,0,1
0,9,0,16.91666667,0.5,0,0,1,0,0,1,0,0,0,0
0,7,1,21.25,0.916666667,1,1,0,0,0,1,0,0,0,0
0,12,0,35.58333333,0.333333333,0,1,1,0,0,1,0,0,0,0
0,2,0,36.75,0.833333333,1,0,0,0,0,0,0,0,0,0
2,10,1,30.58333333,1.583333333,0,0,0,0,0,1,0,0,0,0
0,12,0,35.58333333,0.666666667,0,1,1,0,0,1,0,0,0,0
0,8,0,24.33333333,2.583333333,0,1,1,1,0,1,0,0,0,1
0,9,0,36.75,0.166666667,1,0,1,1,0,1,0,0,0,0
0,11,1,25.16666667,1.166666667,0,0,1,1,1,1,0,0,0,1
0,5,0,31.08333333,0.5,0,1,0,0,0,1,0,0,0,0
0,9,0,25.41666667,1.666666667,0,1,0,1,0,1,0,0,0,1
1,9,0,36,1.333333333,0,0,1,1,1,1,2,1,0,0
1,9,1,18.75,0.5,0,1,0,0,0,1,0,0,0,0
0,7,0,29.41666667,1.25,0,1,1,0,1,1,0,0,0,0
0,9,0,23.75,2.166666667,0,0,1,0,1,1,0,0,0,1
3,12,2,21.83333333,2.25,0,1,1,0,0,1,0,0,0,1
0,9,1,20.75,1.666666667,0,0,1,0,0,1,0,0,0,1
1,8,3,18.41666667,5.666666667,1,0,1,0,1,1,2,1,0,1
0,13,0,19.83333333,0.333333333,1,0,1,1,0,1,0,0,0,1
0,10,0,19.5,1.083333333,0,1,1,0,1,1,2,1,0,1
3,11,0,30.33333333,1.333333333,0,0,1,0,0,1,1,0,1,1
3,9,0,33.33333333,2.25,0,0,1,0,1,1,1,0,1,0
0,11,0,23.58333333,0.416666667,0,0,1,0,0,1,0,0,0,1
0,12,0,30.25,0.333333333,0,0,1,0,0,0,0,0,0,0
1,12,2,23.75,0.583333333,1,0,1,1,0,1,0,0,0,1
0,12,0,43.83333333,0.416666667,1,0,1,1,0,1,0,0,0,0
0,7,1,35.75,2.083333333,0,1,1,0,1,1,2,1,0,1
0,10,4,25.16666667,2.25,0,0,1,0,1,1,2,1,0,0
0,10,0,18.58333333,0.5,0,0,1,0,0,0,0,0,0,0
3,3,0,50.5,0.666666667,1,0,0,1,0,1,0,0,0,0
0,11,2,39.25,2.75,0,0,1,0,1,1,2,1,0,1
0,10,2,26.75,1.583333333,0,1,1,0,0,1,2,1,0,0
0,5,1,24.75,4.833333333,0,0,0,1,0,1,0,0,0,0
0,10,3,21.25,4.166666667,0,1,1,0,1,1,2,1,0,1
2,13,0,36.75,3.166666667,0,1,1,0,1,1,2,1,0,1
0,12,0,21.16666667,0.666666667,0,0,1,0,0,1,0,0,0,0
0,10,0,44,1.083333333,1,1,0,0,0,0,0,0,0,0
1,7,0,19.5,0.416666667,0,0,1,0,0,1,0,0,0,0
5,10,1,41.16666667,0.833333333,0,1,0,1,0,1,0,0,0,1
0,10,3,19.25,0.833333333,0,0,0,1,0,1,0,0,0,1
1,9,0,21.66666667,2.5,0,0,1,0,1,1,2,1,0,0
0,10,0,24.58333333,0.416666667,1,0,0,0,0,1,0,0,0,0
1,12,0,24.41666667,2.5,0,0,1,0,1,1,2,1,0,1
5,8,5,22.75,4.833333333,0,0,1,1,1,1,0,0,0,1
3,5,0,41.91666667,0.416666667,1,0,0,0,0,1,0,0,0,1
0,10,0,21,1.75,1,0,1,1,1,0,1,0,1,0
0,10,0,26.16666667,0.166666667,0,0,0,0,0,1,0,0,0,0
